behavior_function_id,behavior_set,function_NP,behavior_VP
1,床体位置,无压迫抬背,改变
2,用户姿态,无压迫抬背,改变
3,运动信息,无压迫抬背,改变
4,设备异常警告,无压迫抬背,追踪
5,语音指令,无压迫抬背,需求
6,床体位置,中轴线翻身,改变
7,用户姿态,中轴线翻身,改变
8,运动信息,中轴线翻身,改变
9,设备异常警告,中轴线翻身,追踪
10,语音指令,中轴线翻身,需求
11,床体位置,独立抬腿,改变
12,用户姿态,独立抬腿,改变
13,运动信息,独立抬腿,改变
14,设备异常警告,独立抬腿,追踪
15,语音指令,独立抬腿,需求
16,语音指令,语音控制,识别
17,用户生命体征,远程通信,传输
18,体温异常警告,远程通信,传输
19,排泄异常警告,远程通信,传输
20,姿态异常警告,远程通信,传输
21,设备异常警告,远程通信,传输
22,利益相关者,远程通信,传输
23,用户生命体征,状态监测,监测
24,体温异常警告,状态监测,诊断
25,排泄异常警告,状态监测,诊断
26,姿态异常警告,状态监测,诊断
27,设备异常警告,状态监测,诊断
28,利益相关者,状态监测,传输
29,用户姿态,状态监测,监测
30,床体位置,状态监测,监测
31,运动信息,状态监测,监测
32,障碍警告,状态监测,诊断
33,语音指令,人机交互,需求
34,用户姿态,人机交互,展示
35,用户生命体征,人机交互,展示
36,床体位置,人机交互,展示
37,运动信息,人机交互,展示
38,利益相关者,人机交互,通信
