structure_context_id,structure_set,context_set,operation
1,上位计算机,年龄,收集
2,上位计算机,性别,收集
3,上位计算机,地址,收集
4,上位计算机,家庭状况,收集
5,上位计算机,联系方式,收集
6,上位计算机,病史,收集
7,上位计算机,健康状况,收集
8,上位计算机,偏好,收集
9,上位计算机,年龄,显示
10,上位计算机,性别,显示
11,上位计算机,地址,显示
12,上位计算机,家庭状况,显示
13,上位计算机,联系方式,显示
14,上位计算机,病史,显示
15,上位计算机,健康状况,显示
16,上位计算机,偏好,显示
17,上位计算机,温度,显示
18,上位计算机,湿度,显示
19,上位计算机,温度,存储
20,上位计算机,湿度,存储
21,上位计算机,时间,显示
22,上位计算机,时间,存储
23,上位计算机,位置,存储
24,上位计算机,位置,显示
25,上位计算机,声音,存储
26,温度传感器,温度,监测
27,湿度传感器,湿度,监测
28,温度传感器,温度,输出
29,湿度传感器,湿度,输出
30,红外测距传感器,位置,监测
31,红外测距传感器,位置,输出
32,语音识别模块,声音,监测
33,语音识别模块,声音,输出
34,STM32主控芯片,时间,监测
35,STM32中继芯片,时间,监测
36,STM32主控芯片,软件版本,需求
37,STM32中继芯片,软件版本,需求
38,语音识别模块,软件版本,需求
39,上位计算机,软件版本,需求
40,可调稳压模块,更换记录,需求
41,直流无刷伺服驱动器,更换记录,需求
42,蓝牙通讯模块,更换记录,需求
43,温度传感器,更换记录,需求
44,湿度传感器,更换记录,需求
45,语音识别模块,更换记录,需求
46,红外测距传感器,更换记录,需求
47,麦克风,更换记录,需求
48,音响,更换记录,需求
49,床板,更换记录,需求
50,背板,更换记录,需求
51,腿板,更换记录,需求
52,LED灯,更换记录,需求
53,24V直流稳压电源,维修记录,需求
54,36V直流稳压电源,维修记录,需求
55,直流无刷轮毂电机,维修记录,需求
56,电动推杆,维修记录,需求
57,抬背机构,维修记录,需求
58,翻身机构,维修记录,需求
59,抬腿机构,维修记录,需求
60,床椅分离机构,维修记录,需求
61,防侧滑机构,维修记录,需求
62,上位计算机,紧急状况,输出
63,上位计算机,通信状况,输出
64,上位计算机,异常状况,输出
